city,population,"violent crime","murder and nonnegligent manslaughter","rape (revised definition)","rape (legacy definition)",robbery,"aggravated assault","property crime",burglary,"larceny-theft","motor vehicle theft",arson
Penitas,4693,36,0,0,5,2,29,174,34,133,7,0
Perryton,9392,12,0,0,0,1,11,73,13,48,12,0
Pflugerville,53007,59,0,0,16,7,36,822,92,699,31,1
Pharr,73932,230,0,0,20,37,173,2509,579,1810,120,2
Pilot Point,4017,6,0,0,1,2,3,34,11,21,2,0
Pittsburg,4514,35,0,0,5,3,27,196,73,119,4,0
Plainview,22225,57,0,0,7,5,45,877,155,697,25,2
Plano,275795,389,3,84,0,106,196,5930,944,4730,256,16
Pleasanton,9394,35,0,0,1,3,31,543,80,430,33,0
Ponder,1463,3,1,0,0,0,2,20,2,18,0,0
Port Aransas,3726,23,0,0,3,5,15,348,46,264,38,2
Port Arthur,54032,359,5,0,18,121,215,2390,726,1537,127,14
Port Isabel,5055,12,0,0,3,1,8,306,48,253,5,1
Portland,15572,22,0,0,6,5,11,570,89,469,12,3
Port Neches,12773,37,0,0,1,2,34,239,69,150,20,1
Poteet,3375,13,0,0,0,2,11,139,43,86,10,3
Poth,1993,12,0,0,0,0,12,26,7,17,2,0
Pottsboro,2190,5,0,0,2,0,3,37,18,17,2,2
Premont,2722,20,0,0,1,3,16,57,29,27,1,7
